id,per_square_meter_price
COL_289284,38095.34279068526
COL_289305,42936.15705005656
COL_289318,39540.486249179856
COL_289354,72418.00702083873
COL_289399,47945.447130075896
COL_289428,37925.20773455124
COL_289460,44437.61766135075
COL_289493,47920.9529106033
COL_289495,48894.107534211405
COL_289749,44824.13086782259
COL_289763,123492.00238823435
COL_289778,52590.024339629344
COL_289801,43687.88648776926
COL_289971,37958.64876521698
COL_290143,47790.50742308269
COL_290169,64106.46815640354
COL_290252,33051.018066500146
COL_290336,30923.63340651515
COL_290398,40744.74695036431
COL_290403,47040.15088440209
COL_290431,33057.772388491234
COL_290466,52140.254288568016
COL_290486,54387.94700789167
COL_290497,32955.877870490345
COL_290510,41715.39094601368
COL_290559,41134.25558487424
COL_290600,88427.7366972611
COL_290602,79352.10930492514
COL_290716,40702.07964847823
COL_290717,30694.70547736391
COL_290876,47574.204899441625
COL_290966,38034.088227978995
COL_291008,38049.31386548492
COL_291021,83941.54108635671
COL_291043,58451.71853664604
COL_291190,53652.39090168817
COL_291192,44866.56386774131
COL_291274,39867.58164943596
COL_291284,61796.83344134078
COL_291397,33256.54404382483
COL_291450,66434.03476128768
COL_291738,52213.91245652276
COL_291740,39925.92173496628
COL_291825,33029.54998467212
COL_291900,45538.988267021516
COL_292045,63098.066143463344
COL_292135,43145.30766538339
COL_292258,32883.01677368057
COL_292275,36556.90431660154
COL_292279,37586.68912993961
COL_292364,49413.64433498301
COL_292417,37781.40425692231
COL_292421,44349.650416039825
COL_292501,45067.30994970043
COL_292654,51497.50108509222
COL_292906,45624.94438791038
COL_292926,32074.676953608297
COL_293123,44977.39158378208
COL_293135,32857.95972044064
COL_293496,39761.04600599687
COL_293497,47728.6663699787
COL_293588,117010.95533567874
COL_293614,87292.16656999881
COL_293631,66151.46419972165
COL_293703,39325.472846227276
COL_293773,32718.487216692716
COL_293780,42362.71938999986
COL_293783,33130.04308723461
COL_293826,37925.80024581475
COL_293889,67210.8186113255
COL_293952,46122.86750386001
COL_293956,33235.60881394027
COL_294068,61727.919861019654
COL_294101,52093.024881857076
COL_294115,43772.47045543515
COL_294143,42386.05486252987
COL_294200,39174.6796756575
COL_294245,35822.4639383188
COL_294261,32752.75803014471
COL_294293,49277.450808910464
COL_294300,56316.37375438414
COL_294350,39027.26154667941
